Url,Start,Stop
http://35.198.69.85/tools.descartes.teastore.webui/,1539706431607,1539706431690
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4,1539706431130,1539706431754
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706430674,1539706431754
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706431651,1539706431758
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706431690,1539706431760
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706431675,1539706431842
http://35.198.69.85/tools.descartes.teastore.webui/category?page=3&category=4,1539706431158,1539706431977
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user37&password=password,1539706431758,1539706431997
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706431380,1539706432063
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706431761,1539706432064
http://35.198.69.85/tools.descartes.teastore.webui/category?page=3&category=4,1539706431755,1539706432185
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706430021,1539706432195
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706431509,1539706432198
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4,1539706430981,1539706432198
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706431664,1539706432201
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706431842,1539706432203
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706430787,1539706432205
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706431131,1539706432244
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706431185,1539706432313
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706431185,1539706432437
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706431755,1539706432456
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706432195,1539706432460
http://35.198.69.85/tools.descartes.teastore.webui/,1539706432239,1539706432493
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706432493,1539706432593
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=6&number=30,1539706431997,1539706432617
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706431158,1539706432671
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706432203,1539706432672
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706432064,1539706432683
